,,,,,
EC2 INSTANCE,REGION :cn-north-1
InstanceID,Instance_State,InstanceName,Instance_Type,LaunchTime,Instance_Placement,VPC_Id,Contact,Environment,Project,Creator,Tier,Private IP Address,Public IP Address,Security Group
i-08281b30,running,dev_internetds_life_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.129,,test_sg_app_internetds
i-41685b79,running,abfinance_lcb_production01,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,App,10.219.18.29,,sg_app_abfinance_lcb_production
i-93696eab,running,yc_internetds_life_loadrunner5,c3.xlarge,2016-11-18 03:15:49+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.38,,sg_app_internetds_life_loadrunner
i-ae241796,running,uat_internetds_health_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.36.226,,test_sg_app_internetds
i-c8ac94f0,running,abfinance_lcb_nginx01,c3.xlarge,2016-11-02 07:53:40+00:00,cn-north-1a,vpc-b55fabd1,Infra,UAT,internetds,zhouchunlin,App,10.219.18.233,,sg_app_abfinance_lcb_nginx
i-ea8ba852,running,abfinance_lcb_sales02,c3.xlarge,2016-10-08 07:24:28+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,App,10.219.19.225,,sg_app_abfinance_lcb_sales
i-14002bac,running,yc_internetds_life_jsyq_app02,m3.2xlarge,2016-11-04 08:07:45+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,abfinance,zhouchunlin,App,10.219.73.96,,sg_app_internetds_life_jsyq
i-69696e51,running,yc_internetds_life_loadrunner4,c3.xlarge,2016-11-18 03:16:07+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.200,,sg_app_internetds_life_loadrunner
i-6c7f7854,running,yc_internetds_life_xqyhb_app05,c3.xlarge,2016-11-18 07:24:11+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.70.95,,sg_app_internetds_life_xqyhb
i-6d7f5dd5,running,dev_internetds_cache01,r3.2xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,Middleware,10.219.37.138,,test_sg_db_internetds
i-8f6c4537,running,abfinance_db02,c3.8xlarge,2016-10-24 08:12:52+00:00,cn-north-1b,vpc-b55fabd1,Infra,Prod,abfinance,zhouchunlin,DB,10.219.21.23,,sg_db_abfinance
i-b0dee188,running,abfinance_top20_ubuntu_db1,c3.xlarge,2016-10-19 06:15:24+00:00,cn-north-1a,vpc-b55fabd1,Infra,Prod,top20,zhouchunlin,DB,10.219.26.95,,sg_db_abfinance_top20
i-d75967ef,running,internetds_opsmon_app01,c3.xlarge,2016-10-21 08:16:02+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.88.203,,sg_app_internetds_opsmon
i-66eaee5e,running,test_internetds_life_wzyhdz_ftp,c3.xlarge,2016-11-16 03:08:37+00:00,cn-north-1a,vpc-5a58ac3e,Infra,Prod,internetds,zhouchunlin,App,10.219.36.16,,test_sg_app_internetds
i-64002edc,running,internetds_front_yyzc_app02,c3.xlarge,2016-10-21 08:48:11+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.13,,sg_app_internetds_front_yyzc
i-669caa5e,running,epolicymail,c3.xlarge,2016-09-19 06:32:08+00:00,cn-north-1a,vpc-6d5ab208,Infra,Prod,internetds,zhouchunlin,App,172.31.0.60,54.223.55.144,launch-wizard-6
i-6b340753,running,test_internetds_nat01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,Test,internetds,zhouchunlin,NAT,10.219.32.12,,test_sg_nat_internetds
i-4b6a6d73,running,yc_internetds_life_loadrunner2,c3.xlarge,2016-11-18 03:15:26+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.79,,sg_app_internetds_life_loadrunner
i-81042a39,running,internetds_life_xqyhb_app02,c3.xlarge,2016-10-21 07:27:07+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.14,,sg_app_internetds_life_xqyhb
i-08b18930,running,internetds_epolicy_app05,c3.xlarge,2016-11-02 03:03:35+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.78.41,,sg_app_internetds_epolicy
i-09b18931,running,internetds_epolicy_app06,c3.xlarge,2016-11-02 03:03:35+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.78.40,,sg_app_internetds_epolicy
