,,,,,
EC2 INSTANCE,REGION :cn-north-1
InstanceID,Instance_State,InstanceName,Instance_Type,LaunchTime,Instance_Placement,VPC_Id,Contact,Environment,Project,Creator,Tier,Private IP Address,Public IP Address,Security Group,Key Name
i-08281b30,running,dev_internetds_life_app01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,App,10.219.36.129,,test_sg_app_internetds ,test_internetds_private
i-0a3f55791622f983e,running,yc_internetds_epolicy_gzyq_app01,r3.large,2016-12-21 05:44:19+00:00,cn-north-1a,vpc-175eaa73,Infra,DEV,internetds,zhouchunlin,App,10.219.78.165,,sg_app_internetds_epolicy ,kp_deploy
i-93696eab,running,yc_internetds_life_loadrunner5,c3.xlarge,2016-11-18 03:15:49+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.38,,sg_app_internetds_life_loadrunner ,kp_deploy
i-ae241796,running,uat_internetds_health_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.36.226,,test_sg_app_internetds ,test_internetds_private
i-14002bac,running,yc_internetds_life_jsyq_app02,m3.2xlarge,2016-11-04 08:07:45+00:00,cn-north-1b,vpc-175eaa73,Infra,UAT,internetds,zhouchunlin,App,10.219.73.96,,sg_app_internetds_life_jsyq ,kp_deploy
i-69696e51,running,yc_internetds_life_loadrunner4,c3.xlarge,2016-11-18 03:16:07+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.200,,sg_app_internetds_life_loadrunner ,kp_deploy
i-6c7f7854,running,yc_internetds_life_xqyhb_app05,c3.xlarge,2016-11-18 07:24:11+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.70.95,,sg_app_internetds_life_xqyhb ,kp_deploy
i-6d7f5dd5,running,dev_internetds_cache01,r3.2xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,Middleware,10.219.37.138,,test_sg_db_internetds ,test_internetds_private
i-d75967ef,running,internetds_opsmon_app01,c3.xlarge,2016-10-21 08:16:02+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.88.203,,sg_app_internetds_opsmon ,kp_deploy
i-66eaee5e,running,test_internetds_life_wzyhdz_ftp,c3.xlarge,2016-11-16 03:08:37+00:00,cn-north-1a,vpc-5a58ac3e,Infra,Prod,internetds,zhouchunlin,App,10.219.36.16,,test_sg_app_internetds ,test_internetds_private
i-64002edc,running,internetds_front_yyzc_app02,c3.xlarge,2016-10-21 08:48:11+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.13,,sg_app_internetds_front_yyzc ,kp_deploy
i-6b340753,running,test_internetds_nat01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,Test,internetds,zhouchunlin,NAT,10.219.32.12,,test_sg_nat_internetds ,test_internetds_public
i-4b6a6d73,running,yc_internetds_life_loadrunner2,c3.xlarge,2016-11-18 03:15:26+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.79,,sg_app_internetds_life_loadrunner ,kp_deploy
i-08b18930,running,internetds_epolicy_app05,c3.4xlarge,2016-12-13 03:54:22+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.78.41,,sg_app_internetds_epolicy ,kp_deploy
i-09b18931,running,internetds_epolicy_app06,c3.4xlarge,2016-12-13 03:54:22+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.78.40,,sg_app_internetds_epolicy ,kp_deploy
i-da042a62,running,internetds_front_zkp_app02,c3.xlarge,2016-10-21 07:17:22+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.69.250,,sg_app_internetds_front_zkp ,kp_deploy
i-20002b98,running,yc_internetds_life_xqyhb_app02,c3.xlarge,2016-11-04 08:03:59+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.73.88,,sg_app_internetds_life_xqyhb ,kp_deploy
i-4b1a2ef3,running,internetds_life_jsyq_app02,m3.2xlarge,2016-11-15 06:30:43+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.73.17,,sg_app_internetds_life_jsyq ,kp_deploy
i-98696ea0,running,yc_internetds_life_loadrunner3,c3.xlarge,2016-11-18 03:13:33+00:00,cn-north-1a,vpc-175eaa73,Infra,Test,internetds,zhouchunlin,App,10.219.70.144,,sg_app_internetds_life_loadrunner ,kp_deploy
i-078418e1d0bddf961,running,yc_internetds_front_dsjr_8capp05,c3.2xlarge,2016-12-10 03:01:31+00:00,cn-north-1a,vpc-175eaa73,Infra,yc,internetds,zhouchunlin,App,10.219.68.174,,sg_app_internetds_front_dsjr ,kp_deploy
i-6b81b0d3,running,mgmt-bastion02,c3.xlarge,2016-11-30 02:21:11+00:00,cn-north-1b,vpc-1758ac73,Infra,Prod,Management,zhouchunlin,App,10.219.8.38,,sg_mgmt_bastion ,kp_management
i-046148bc,running,internetds_epolicy_app03,c3.xlarge,2016-10-24 09:18:13+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.79.89,,sg_app_internetds_epolicy ,kp_deploy
i-056148bd,running,internetds_epolicy_app04,c3.xlarge,2016-10-24 09:18:13+00:00,cn-north-1b,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.79.90,,sg_app_internetds_epolicy ,kp_deploy
i-967e79ae,running,yc_internetds_life_xqyhb_app04,c3.xlarge,2016-11-18 07:24:02+00:00,cn-north-1a,vpc-175eaa73,Infra,Prod,internetds,zhouchunlin,App,10.219.70.70,,sg_app_internetds_life_xqyhb ,kp_deploy
i-c7795b7f,running,uat_internetds_life_app02,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1b,vpc-5a58ac3e,Infra,UAT,internetds,zhouchunlin,App,10.219.37.16,,test_sg_app_internetds ,test_internetds_private
i-392d1e01,running,dev_internetds_mid01,c3.xlarge,2016-10-08 07:15:39+00:00,cn-north-1a,vpc-5a58ac3e,Infra,DEV,internetds,zhouchunlin,Middleware,10.219.36.109,,test_sg_app_internetds ,test_internetds_private
i-0ba44fc621d10d9fe,running,yc_internetds_front_dsjr_8capp04,c3.2xlarge,2016-12-10 03:01:37+00:00,cn-north-1b,vpc-175eaa73,Infra,yc,internetds,zhouchunlin,App,10.219.69.253,,sg_app_internetds_front_dsjr ,kp_deploy
