[root@pacstat1 pssh]# sh batch-get.sh 
[1] 21:40:39 [SUCCESS] 10.10.8.3
[2] 21:40:39 [SUCCESS] 10.10.8.6
[3] 21:40:39 [SUCCESS] 10.10.8.28
[4] 21:40:39 [SUCCESS] 10.10.8.12
[5] 21:40:39 [SUCCESS] 10.10.3.11
[6] 21:40:39 [SUCCESS] 10.10.8.8
[7] 21:40:39 [SUCCESS] 10.10.3.10
[8] 21:40:39 [SUCCESS] 10.10.228.13
[9] 21:40:39 [SUCCESS] 10.10.114.148
[10] 21:40:39 [SUCCESS] 10.10.114.174
[11] 21:40:39 [SUCCESS] 10.10.114.147
[12] 21:40:39 [SUCCESS] 10.10.120.16
[13] 21:40:39 [SUCCESS] 10.10.8.46
[14] 21:40:39 [SUCCESS] 10.10.0.237
[15] 21:40:39 [SUCCESS] 10.10.8.13
[16] 21:40:39 [SUCCESS] 10.10.8.47
[17] 21:40:39 [SUCCESS] 10.10.0.192
[18] 21:40:39 [SUCCESS] 10.10.0.238
[19] 21:40:39 [SUCCESS] 10.10.0.191
[20] 21:40:39 [SUCCESS] 10.10.8.75
[21] 21:40:39 [SUCCESS] 10.10.8.67
[22] 21:40:39 [SUCCESS] 10.10.88.5
[23] 21:40:39 [SUCCESS] 10.10.0.231
[24] 21:40:39 [SUCCESS] 10.10.229.54
[25] 21:40:39 [SUCCESS] 10.10.52.34
[26] 21:40:39 [SUCCESS] 10.10.0.84
[27] 21:40:39 [SUCCESS] 10.10.0.230
[28] 21:40:39 [SUCCESS] 10.10.0.85
[29] 21:40:39 [SUCCESS] 10.10.0.232
[30] 21:40:39 [SUCCESS] 10.10.228.11
[31] 21:40:39 [SUCCESS] 10.10.228.33
[32] 21:40:39 [SUCCESS] 10.10.0.83
[33] 21:40:39 [SUCCESS] 10.10.0.224
[34] 21:40:39 [SUCCESS] 10.10.230.11
[35] 21:40:39 [SUCCESS] 10.10.0.225
[36] 21:40:39 [SUCCESS] 10.10.0.64
[37] 21:40:39 [SUCCESS] 10.10.230.10
[38] 21:40:39 [SUCCESS] 10.10.229.17
[39] 21:40:39 [SUCCESS] 10.10.0.116
[40] 21:40:39 [SUCCESS] 10.10.0.114
[41] 21:40:39 [SUCCESS] 10.10.0.181
[42] 21:40:39 [SUCCESS] 10.10.0.65
[43] 21:40:39 [SUCCESS] 10.10.3.18
[44] 21:40:39 [SUCCESS] 10.10.3.17
[45] 21:40:39 [SUCCESS] 10.10.3.19
[46] 21:40:39 [SUCCESS] 10.10.3.20
[47] 21:40:39 [SUCCESS] 10.10.0.132
[48] 21:40:39 [SUCCESS] 10.10.0.101
[49] 21:40:39 [SUCCESS] 10.10.0.133
[50] 21:40:39 [SUCCESS] 10.10.0.140
[51] 21:40:39 [SUCCESS] 10.10.0.102
[52] 21:40:39 [SUCCESS] 10.10.0.119
[53] 21:40:39 [SUCCESS] 10.10.0.51
[54] 21:40:39 [SUCCESS] 10.10.0.53
[55] 21:40:39 [SUCCESS] 10.10.3.51
[56] 21:40:39 [SUCCESS] 10.10.3.43
[57] 21:40:39 [SUCCESS] 10.10.3.44
[58] 21:40:39 [SUCCESS] 10.10.80.10
[59] 21:40:39 [SUCCESS] 10.10.3.45
[60] 21:40:39 [SUCCESS] 10.10.3.46
[61] 21:40:39 [SUCCESS] 10.10.80.11
[62] 21:40:39 [SUCCESS] 10.10.3.47
[63] 21:40:39 [SUCCESS] 10.10.80.15
[64] 21:40:39 [SUCCESS] 10.10.80.12
[65] 21:40:39 [SUCCESS] 10.10.80.13
[66] 21:40:39 [SUCCESS] 10.10.80.14
[67] 21:40:39 [SUCCESS] 10.10.8.95
[68] 21:40:39 [SUCCESS] 10.10.8.99
[69] 21:40:40 [SUCCESS] 10.10.8.100
